Reference,Quantity,Value / part,Footprint,Manufacturer,JLCPCB,Placement,Notes
U1,1,NRF52810-QFAA-R,QFN48 6x6 mm,Nordic Semiconductor,C141828,Top,nRF52810 BLE SoC
BT1,1,MY-2032-16,Custom CR2032 holder,MYOUNG,C2902340,Bottom,Two outer pads positive; center pad negative
J2,1,BM05B-SRSS-TB(LF)(SN),JST-SH 5P 1.0 mm,JST,C160391,Top,SWD: VTREF GND SWDIO SWDCLK nRESET
LED1,1,E6C0606RGBC3UDA,0606 RGB,Everlight,C375569,Top,Common-anode RGB status LED
ANT1,1,RFANT3216120A5T,3216 chip antenna,Walsin,C127629,Top,2.4 GHz antenna; pin 1 feed; pin 2 NC
X1,1,X201632MKB4SI,2016-4P,YXC,C718072,Top,32 MHz CL 8 pF +/-10 ppm
X2,1,ABS07-32.768KHZ-9-T,3215-2P,Abracon,C179635,Top,32.768 kHz CL 9 pF +/-20 ppm
C1 C2,2,12 pF,0402,Generic,C1547,Top,C0G/NP0 HFXO load capacitors
C11 C12,2,12 pF,0402,Generic,C1547,Top,C0G/NP0 LFXO load capacitors
C4 C5 C8,3,100 nF,0402,Generic,C1525,Top,X7R decoupling
C7,1,100 pF,0402,Generic,C1546,Top,C0G/NP0 DEC2 capacitor
C9,1,4.7 uF,0603,Generic,C19666,Top,X5R/X7R bulk supply capacitor
C10,1,1 uF,0603,Generic,C15849,Top,X5R/X7R DEC4 capacitor
R_LED_B R_LED_G R_LED_R,3,1 kohm,0402,Generic,C11702,Top,RGB LED current limiting
L1,1,3.9 nH,0402,Generic,,Top,High-Q Nordic RF matching inductor
C3,1,0.8 pF,0402,Generic,C88902,Top,C0G/NP0 Nordic RF matching capacitor
L2,1,6.8 nH,0402,Generic,,Top,High-Q antenna-series starting value; tune in product
C13 C14,2,0.5 pF placeholder,0402,Generic,,Top,DNP tuning positions
TP_VDD TP_SWDIO TP_GND TP_SWDCLK TP_RESET,5,1.6 mm test pad,Round SMD pad,PCB,,Top,2.5 mm pitch SWD programming interface
